# Collected By: Andy Pavlo http://www.cs.brown.edu/~pavlo/
"IVOW INC",IVOW,
"Inverted Paradigms Corp.",IVPC,
"InfoVista SA",IVTAY,
"Jacobson Stores Inc.",JCBSQ,
"JPM Co., The",JPMX,
"JPS Industries Inc.",JPST,
"Jacobson Resonance Enterprises Inc.",JRSE,
"JYRA RESEARCH INC",JYRA,
"KOALA CP",KARE,
"Krause's Furniture, Inc.",KAUSQ,
"KBL HEALTHCARE",KBLH,
"KBL HEALTHCARE WT",KBLHW,
"KI-1 Inc.",KELLQ,
"Kirlin Holding Corp.",KILN,
"KING RESOURCES INC",KING,
"KLM AIRLINES NY REG",KLMR,
"KINAM GOLD 3.75% PFD",KMGDP,
"KIRIN BREWERY ADR",KNBWY,
"KNIGHT ENERGY CORP",KNEC,
"Knockout Holdings Inc.",KNOH,
"Knox Nursery Inc.",KNUR,
"Koor Industries",KORIY,
"Kupper Parker Communications Inc.",KPCG,
"KPNQWEST NV C NY REG",KQIPQ,
"Kings Road Entertainment Inc.",KREN,
"RICH COAST INC",KRHC,
"KUHLMAN COMPANY INC",KUHM,
"Kennedy-Wilson Inc.",KWIC,
"LAM Pharmaceutical Corp.",LAMP,
"LEADINGSIDE INC",LDSD,
"Lechters Inc.",LECH,
"Lexington Precision Corp.",LEXP,
"Lifepoint Inc.",LFPI,
"LIFESTREAM TECH INC",LFTC,
"Legal Access Technologies Inc.",LGAL,
"LUNA GOLD CORP",LGCU,
"Interlink Electronics Inc.",LINK,
"Light Management Group Inc.",LMGR,
"LINK ENERGY LLC  WTS",LNKEW,
"LOG ON AMERICA INC",LOAX,
"Locateplus Holdings Corp.",LPHC,
"Longport Inc.",LPTI,
"Lafarge S.A.",LFRGY,
"Larrea Biosciences Corp.",LRRA,
"Large Scale Biology Corp.",LSBC,
"Liska Biometry Inc.",LSKA,
"Lifespan, Inc.",LSPN,
"LASALLE RE HLDS PR A",LSRAF,
"Lithium Technology Corp.",LTHU,
"LUNA TECHS INTL",LTII,
"LTV Corp.",LTVCQ,
"Lumenon Innovative Lightwave Technology Inc.",LUMMQ,
"LUCENT WTS 2007",LUTHW,
"LVMH MOET HENN UNSP",LVMUY,
