# Collected By: Andy Pavlo http://www.cs.brown.edu/~pavlo/
"Faceprint Global Solutions Inc.",FPRN
"FIRST BANK (NJ)",FRBA
"FIRST BANK (NJ) WT",FRBAW
"Fresh Harvest Products, Inc.",FRHV
"Fearless International, Inc.",FRLE
"FORMAT INC",FRMT
"First Responder Products Inc",FRPD
"Franklin Towers Enterprises Inc",FRTW
"Frezer Inc.",FRZR
"FORTISSIMO ACQUISITN",FSMO
"FORTISSIMO ACQ WT",FSMOW
"FSONA SYSTEMS CORP",FSON
"FIRST SOURCE DATA",FSOR
"Firstar Exploration Corp.",FSRX
"FITMEDIA INC",FTME
"FUTURE NOW GROUP INC",FUTR
"ForeverGreen Worldwide Corporation",FVRG
"FLEX FUELS ENERGY",FXFL
"FOX PETROLEUM INC",FXPE
"Flooring Zone Inc., The",FZON
"GLOBAL ADVANCE CORP",GADV
"GOLDEN AUTUMN HOLDIN",GAHI
"GOLDEN ARIA CORP",GARA
"Genesis Bioventures Inc.",GBIW
"GRANITE COMMUNITY BK",GCBK
"Genesis Capital Corp.",GCCN
"Gulf Coast Oil &amp; Gas Inc",GCOG
"GOLD CANYON BANK AZ",GCYO
"GOLDEN CENTURY TECH",GCYT
"GD CONFERENCE CENTER",GDCE
"GOLDEN TAN, INC.",GDTN
"GEOSTAR MINERAL CORP",GEOS
"GEOEYE INC WT",GEOYW
"GLOBAL ELEC RECOVERY",GERV
"General Environmental Management Inc.",GEVI
"Global Employment Holdings, Inc.",GEYH
"GLOBAL ENERGY INC",GEYI
"Green Energy Holding Corp.",GEYO
"GREAT FLORIDA BK A",GFLBA
"GREAT FLORIDA BANK B",GFLBB
"George Foreman Enterprises Inc.",GFME
"GIANT OIL &amp; GAS INC",GGSIF
"Good Harbor Partners Acquisition Corp.",GHBAU
"GOOD HARBOR ACQ UT B",GHBBU
"GREEN IRONS HOLDINGS",GIHO
"GEORGIA INTL MINING",GIMC
"GILLA INC",GLLA
"GOLDEN STAR RESOURCE",GLNS
"Greenlite Ventures Inc.",GLTV
"GOLDMOUNTAIN EXPLOR",GMEX
"GLOBAL MAINFRAME CP",GMFCF
"GameZnFlix Inc.",GMFX
"GEMSTAR RESOURCES LT",GMSRF
"General Metals Corporation",GNMT
"G/O Business Solutions, Inc.",GOBS
"GoFish Corp.",GOFH
"Gold Resource Corp",GORO
"Geovax Labs, Inc.",GOVX
GETPOKERRAKEBACK.COM,GPKR
"Global Pari-Mutuel Services, Inc.",GPRM
"GREAT RIVER FINL GRP",GRFN
"GREM USA",GRUS
"Genesis Realty Group Inc.",GRYG
"Global Services Partners Acquisition Corp.",GSPA
"GLOBAL SVCS PTR WT Z",GSPAZ
"GLOBAL TELECOM WT W",GTLTW
"GLOBAL TELECOM WT Z",GTLTZ
"Getting Ready Corporation",GTRY
"GOLDTOWN INVESTMENTS",GTWV
"Gulf Resources, Inc.",GUFR
"GUILIN PAPER INC",GUPR
"GENEVA RESOURCES INC",GVRS
"GROSVENOR EXPLORATNS",GVXP
"GOLDEN VALLEY BK CA",GVYB
"Golden West Brewing Co. Inc.",GWBC
"Gulf Western Petroleum Corporation",GWPC
"GEMINI EXPLORATIONS",GXPI
"GUANGZHOU GLOBAL TEL",GZGT
"HAN LOGISTICS, INC.",HANO
"Hybrid Dynamics Corp.",HBDY
"HARVEST COMM BK UT",HCBPU
"Home City Financial Corp.",HCFL
"HC Innovations, Inc.",HCNV
"HERITAGE EXPLORATION",HEEX
"HENIX RESOURCES, INC",HENX
"HIGH END VENTURES",HEVE
"HAMPSHIRE FIRST BANK",HFBN
"Hangman Productions Inc.",HGMP
"HI TECH WEALTH INC",HITW
"Halcyon Jets Holdings Inc.",HJHO
"HANKERSEN INTL CORP",HKRS
"Hola Communications Inc.",HLAC
"HLS SYSTEMS INTL UT",HLSUF
"HLS SYSTEMS INTL WT",HLSWF
"HLS SYSTEMS INTL",HLSYF
"HAMMONDS INDUSTRIES",HMDI
"HOME DIRECTOR, INC.",HMDO
"Hemis Corp.",HMSO
"Healthcare Providers Direct, Inc.",HPRD
"HIGHLANDS ST BK UNIT",HSBKU
"HOUSTON LTG &amp; PWR $4.00 PFD",HSLPP
"HERCULES TECH GR WT",HTGCW
"Heartland Oil &amp; Gas Corp.",HTOG
"Hutton Holdings Corp.",HTTH
"Hometown Bancorp Inc.",HTWC
"HURON VALLEY ST (MI)",HVLM
"HYBROOK RESOURCES CP",HYBK
"Hyde Park Acquisition Corp.",HYDQ
"Hybrid Technologies, Inc.",HYDQU
"HYDE PARK ACQ WT",HYDQW
"HYDROGEN HYBRID TECH",HYHY
"Internet Acquisition Group, Inc",IAGR
"InterAmerican Acquisition Group Inc.",IAQG
"InterAmerican Acquisition Group Inc.",IAQGU
"INTERAMERICAN ACQ WT",IAQGW
"Ibroadband Inc",IBBD
N/A,IBFL
"INTL CELLULAR ACCESS",ICLA
"ICP SOLAR TECHNOLOGS",ICPR
"IDO SECURITY INC",IDOI
"INFITECH VENTURES",IFTV
"Intrepid Global Imaging 3D, Inc.",IGLB
"ISRAEL GROWTH CL A",IGPAA
"ISRAEL GROWTH CL B",IGPAB
"ISRAEL GROWTH UT A",IGPAU
"ISRAEL GROWTH WT W",IGPAW
"ISRAEL GROWTH WT Z",IGPAZ
"ISRAEL GROWTH UT B",IGPBU
"INTELGENX TECHNOLOGS",IGXT
"Interact Holdings Group, Inc.",IHGR
"INTELLIHOME, INC.",IHME
"International Imaging Systems Inc.",IIMG
"ITLINKZ GROUP INC",ILKZ
"Intellect Neurosciences, Inc.",ILNS
"I-LEVEL MEDIA GROUP",ILVL
"Immureboost, Inc.",IMBO
"IMPACT MEDICAL SOLUT",IMSU
"IMMS, INC.",IMSZ
"ImmunoCellular Therapeutics, Ltd.",IMUC
"IMMUNOSYN CORPORATIN",IMYN
"ISDERA NORTH AMER",INAI
"International Building Technologies Group, Inc.",INBG
"Intercontinental Resources, Inc.",INCL
"Integrated Management Information, Inc.",INMG
"Innovative Consumer Products, Inc.",INVP
"International Power Group Ltd.",IPWG
"IQ MICRO INC",IQMC
"Ireland, Inc.",IRLD
"International Stem Cell Corporation",ISCO
"InstaCare Corp.",ISCR
"Insight Health Services Corp.",ISGT
"IT GROUP HOLDINGS",ITGL
Intelligentias,ITLI
"Itonis Inc.",ITNS
"I2 Telecom International, Inc.",ITUI
"INTERVIA INC",ITVA
"INFRABLUE US INC",IUSI
"Innovative Designs Inc.",IVDNQ
"IVECON CORPORATION",IVEO
"IN VERITAS MED DIAGN",IVME
"Ivany Mining, Inc.",IVNM
"IXI Mobile, Inc.",IXMO
"IXI MOBILE INC UT",IXMOU
"JAGUAR ACQ CP WT",JGACW
"JAKE`S TRUCKING NEW",JKTI
"JINGWEI INTL LTD",JNGW
"JUNIPER CONTENT UT B",JNPBU
"Juniper Content Corp.",JNPC
"JUNIPER CONTENT WT W",JNPCW
"JUNIPER CONTENT WT Z",JNPCZ
"JOMAR SPECIALTIES",JOMR
"Rx Staffing, Inc.",JPAK
"Juma Technology Corp.",JUMT
"JUNIPER GROUP PFD",JUNPE
"Jayhawk Energy, Inc.",JYHW
"KABE EXPLORATION",KABX
"KAL ENERGY, INC.",KALG
"K-CARE NUTRITNL PROD",KCNU
"Kodiak Energy Inc.",KDKN
"KINGLAKE RESOURCES",KGLK
"KMA GLOBAL SOLUTIONS",KMAG
"KINDER TRAVEL, INC.",KNDT
"K-9 CONCEPTS, INC.",KNIN
"KapStone Paper and Packaging Corporation",KPPCU
"Kreido Biofuels, Inc",KRBF
"Kurrant Food Enterprises, Inc.",KRTF
"Kesselring Holding Corporation.",KSSH
"Kingston Systems, Inc.",KSYT
"Katahdin Bankshares Corp.",KTHN
"KeyOn Communications Holdings, Inc",KYCS
"Language Access Network, Inc.",LANW
"Landbank Group, Inc.",LBAN
"Liberator Medical Holdings, Inc.",LBMH
"LABURNUM VENTURES",LBMV
"LODGE BAY OIL &amp; GAS",LBOG
"Liberty Star Uranium &amp; Metals Corp.",LBSU
"Lion Capital Holdings Inc.",LCHL
"LUCKY STRIKE EXPLOR",LCKY
"LA CORTEZ ENTERPRISE",LCTZ
"LEE FINE ARTS INC",LEFA
"LEGACY MINING LTD.",LEYM
"Lifevantage Corporation",LFVN
"LOGICA HOLDINGS INC",LGHL
"Lightspace Corp.",LGTS
"LIGHTSPACE WT $1.63",LGTSL
"LIGHTSPACE CORP UTS",LGTSU
"LIGHTSPACE WT $1.00",LGTSW
"LIGHTSPACE WT $1.25",LGTSZ
"LID HAIR STUDIO INTL",LHSI
"LILM INC",LILM
"Lixte Biotechnology Holdings, Inc.",LIXT
"Last Mile Logistics Group, Inc.",LMLG
"LANGUAGE ENTERPRISES",LNGG
"LIONS GATE LIGHTING",LNLT
"Las Palmas Mobile Estates",LPME
"LEARNING QUEST TECH",LQST
"LifeQuest World Corporation",LQWC
"LAURIER INTL INC",LRNL
"LORETO CORPORATION",LRTC
"LA SOLUCION, INC.",LSLU
"LAS ROCAS MINING CRP",LSRC
"LIGHTSCAPE TECHS INC",LTSC
"Lattice, Inc.",LTTC
"LATIN AMERICAN TELE",LTTV
"Lotus Pharmaceuticals, Inc.",LTUS
"Latin Television Inc.",LTVS
"LIGHTVIEW, INC.",LTVW
"LUMONALL INC",LUMN
"LiveDeal, Inc.",LVDL
"LIVEREEL MEDIA CORP",LVRLF
"LEXINGTON ENERGY SVC",LXES
"LEXARIA CORP",LXRA
"LEXICON UNITED INC",LXUN
"Magna-Lab Inc.",MAGAA
"MARKETING ACQUISITN",MAQC
"Morris Business Development Company",MBDV
"Mobiclear, Inc.",MBIR
"MOBIVENTURES INC",MBLV
"MISCOR Group Ltd.",MCGL
"MICRO-TECH ID SYS",MCTC
"MADRONA VENTURES INC",MDRV
"MED TECH SOLUTIONS I",MDTU
"Mac Filmworks Inc",MFWO
"Marine Growth Ventures Inc.",MGRW
"Mogul Energy International Inc.",MGUY
"MEGAWEST ENERGY CORP",MGWSF
"MINHAS ENERGY CONSUL",MHAS
"Marshall Holdings International, Inc.",MHII
"MIDNIGHT CANDLE CO",MIDC
"MISTRAL VENTURES NEW",MILV
"MIT HOLDING, INC.",MITD
"MAR KED MINERAL EXPL",MKED
"MIDDLE KINGDOM CL B",MKGBB
"Middle Kingdom Alliance Corp.",MKGBU
"MIDDLE KINGDOM WT B",MKGBW
"Middle Kingdom Alliance Corp.",MKGD
"MIDDLE KINGDOM UT A",MKGDU
"MIDDLE KINGDOM WT A",MKGDW
"MORTLOCK VENTURES",MLVI
"MMA MEDIA INC",MMAI
"Micro Imaging Technology, Inc.",MMTC
"MANAS PETROLEUM CORP",MNAP
"MADISON NATL BK (NY)",MNBX
"Manhattan Bancorp.",MNHN
"Monumental Marketing Inc",MNUM
"MONDIAL VENTURES INC",MNVN
"MODIGENE INC",MODG
"MISSOURI KANS TEX RR CERTFS",MOKTL
"Morlex Inc Co",MORX
"MARINE PARKING HLDGS",MPHL
"MARIPOSA RESOURCES",MPSR
"MAPLE MOUNTAIN EXPLO",MPXP
"My Quote Zone Inc.",MQOZ
"Mirae Bancorp (CA)",MRAB
"Mainstreet Bankshares Inc.",MREE
"M45 MINING RESOURCES",MRES
"Merilus, Inc.",MRHD
"MainStreet Financial Corp.",MSFN
"METABOLIC RESEARCH",MTBR
"MailTec Inc.",MTEC
"MATTMAR MINERALS",MTTM
"MIDWEST URANIUM CORP",MWUC
"Marketing Worldwide Corp",MWWC
"MAX ENTERTAINMNT HLD",MXEH
"MAXLIFE FUND CORP.",MXFD
"MAX NUTRITION, INC.",MXNU
"MYSTICA CANDLE CORP",MYTC
"MONZA VENTURES INC",MZAV
"NOBLE INNOVATIONS",NBIV
"NOBLE QUEST, INC.",NBLQ
"NB Manufacturing Inc",NBMF
"NO CALIF NATL BK(CA)",NCNB
"nCoat, Inc.",NCOA
"NORTH COAST PARTNERS",NCPR
"NEW DESIGN CABINETS",NDSG
"National Energy Services Co Inc",NEGS
"Nexia Holdings Inc.",NEXA
"NF ENERGY SAVING CP",NFES
"NATIONAL FILING AGEN",NFLA
"nFinanSe Inc",NFSE
"NILAM RESOURCES INC",NILR
"New Life Scientific Inc.",NMCH
"NORDIC NICKEL LTD.",NNKL
"NANO HOLDINGS INTL",NNOH
"NanoViricides, Inc.",NNVC
"NORTHERN OIL AND GAS",NOGS
"NOVORI INC",NOVO
"North Penn Bancorp Inc.",NPBP
"Neptune Industries Inc.",NPDI
"New Paradigm Productions Inc.",NPDP
"Neah Power Systems, Inc.",NPWS
"Northern California Bancorp Inc",NRLB
"Noram Capital Holdings, Inc.",NRMH
"NURSE SOLUTIONS",NRSS
"NSTAR ELECT 4.78 PFD",NSARO
"NSTAR ELECT 4.25 PFD",NSARP
"NT Media Corp. of California, Inc.",NTMI
"NETTIME SOLUTIONS, I",NTMS
"Nitro Petroleum, Inc.",NTRO
"NUGGET RESOURCES",NUGR
"NU MEX URANIUM CORP",NUMX
"NUANCE RESOURCES CRP",NUNC
"Navidec Financial Services Inc.",NVDF
"Nuevo Financial Center, Inc.",NVFN
"NevStar Corp.",NVSC
"NEW RESOURCE BANK CA",NWBN
"Northwest Biotherapeutics Inc.",NWBO
"NEWS OF CHINA INC.",NWCH
"NewGen Technologies Inc.",NWGN
"Newtown Lane Marketing Incorporated",NWLM
"New Motion, Inc.",NWMO
"Newport Gold Inc.",NWPG
"NWT URANIUM CORP.",NWURF
"Northway Financial Inc.",NWYF
"NexHorizon Communications, Inc.",NXHZ
"NEXTMART INC",NXMR
"NORTHERN EXPLORATION",NXPN
"Orange Community Bancorp",OCBN
"Oncologix Tech, Inc.",OCLG
"OHANA PACIFIC BK HI",OHPB
"OROMIN EXPLORATIONS",OLEPF
"Omagine, Inc.",OMAG
"OMEGA UNITED INC",OMGU
"ONELIFE HLTH PRDCTS",ONLF
"Oasis Online Technologies Corp.",OOLN
"OPES EXPLORATION",OPXI
"OmniReliant Holdings, Inc.",ORHI
"Ohio State Bancshares Inc.",OSBI
"Organic To Go Food Corporation",OTGO
"O2 SECURE WIRELESS Inc.",OTOW
"OUTBACK ENERGY CORP",OUBE
"OLIVER CREEK RESOURC",OVCR
"PATTERSON BROOKE RES",PABR
N/A,PAPM
"Pebble Beach Enterprises, INC",PBBB
"Polonia Bancorp",PBCP
"PINNACLE BANK (CA)",PBNK
"Pharma-Bio Serv, Inc.",PBSV
"PIEDMONT COMM BK GRP",PCBN
PORTALTOCHINA.COM,PCHN
"PCMT CORPORATION",PCMT
"PANTHWON CHINA ACQ",PCQC
"PANTHEON CHINA AQ UT",PCQCU
"PANTHEON CHINA AQ WT",PCQCW
"PRESIDIO BANK",PDOB
"PACIFIC ALLINC BK CA",PFBN
"PACIFIC CITY FINL CP",PFCF
"PATRIOT FED BK (NY)",PFDB
"PERFECTENERGY INTL",PFEN
"PACIFIC GOLDRIM RES",PFGD
"ParaFin Corp.",PFNO
"PENGRAM CORPORATION",PGRM
"Physician Remote Solutions Inc.",PHYU
"PACIFIC INTL BANCORP",PIBW
"Premier Alliance Group Inc.",PIMO
"Phoenix International Ventures, Inc.",PIVN
"PROJECT DEVPMNT PCFC",PJCT
"PEAK RESOURCES INC.",PKRC
"Pacific Land And Coffee Corp.",PLFF
"PLAYLOGIC ENTERTNMT",PLGC
"Paladin Holdings, Inc.",PLHI
"PLIANT CORP REDM PFD",PLIAP
"Planktos Corp.",PLKT
"Plastinum Polymer Technologies Corp",PLNU
"Platinum Research Organization, Inc.",PLRO
"PLASMATECH INC",PMAH
"PROMERICA BANK CA",PMRA
"PURE NICKEL INC",PNCKF
"PALOMINE MINING INC",POMM
"POWERRAISE, INC.",PORS
"PINPOINT ADV CORP.",PPAC
"PINPOINT ADVANCE UT",PPACU
"PINPOINT ADV CORP WT",PPACW
"Premiere Publishing Group Inc.",PPBL
"PACIFIC COPPER CORP.",PPFP
"Patient Portal Technologies, Inc.",PPRG
"PHYSICAL PROPERTY HO",PPYH
"PUPPY ZONE ENTERPRIS",PPYZ
"PARK PLACE ENERGY CP",PRPL
"PETROSOUTH ENERGY CP",PSEG
"PANOSHAN MARKETING",PSHNF
"PACIFIC SYNDICATED",PSRI
"PARK STERLING BANK",PSTB
"Patient Safety Technologies Inc.",PSTX
"PTM PUBLICATIONS",PTMZ
"PATRIOT STATE BK(NC)",PTOK
"PANTERA PETROLEUM",PTPE
"Pro Travel Network Inc.",PTVL
"Public Media Works Inc.",PUBM
"PUGET SOUND BANK WA",PUGB
"Publix Super Markets Inc.",PUSH
"PROMOTORA VALLE HERM",PVHI
"PAWFECT FOODS INC",PWFF
"POWERSAFE TECHNOLOGY",PWSF
"Paxton Energy Inc.",PXTE
"PLAZA BANK (WA)",PZBW
"QUIKBYTE SOFTWARE",QBYT
"QLINKS AMERICA INC",QLKA
"Quest Minerals &amp; Mining Corp",QMMC
"The Quantum Group, Inc.",QNTM
"Quaint Oak Bancorp Inc",QNTO
"Qnective, Inc.",QNTV
"Quest Group International Inc.",QSTG
"QUANTUM VENTURES INC",QTMV
"Questar Assessment, Inc.",QUSA
"Restaurant Acquisition Partners Inc",RAQP
"Restaurant Acquisition Partners Inc",RAQPU
"RESTAURANT ACQUISITN",RAQPW
"RUBY CREEK RESOURCES",RBYCF
"ROCKWELL DIAMONDS",RDIAF
"Red Mile Entertainment Inc.",RDML
"RODINA MINERALS",RDNAF
"RIDGESTONE RESOURCES",RDTR
"RED CARPET ENTERTNMT",REDZ
"REEDS, Inc.",REED
"Renewable Energy Resources, Inc.",RENW
"ReoStar Energy Corp.",REOS
"RELIANT FINANCL SVC",RFNS
"Regal Bancorp, Inc.",RGBM
"REGAL ROCK INC",RGRK
"RELIANCE BANCSHARES",RLBS
"REEL ESTATE SERVICES",RLET
"RED LAKE EXPLORATION",RLKX
"Real Logic, Inc.",RLLC
"RM HEALTH INTL INC",RMHL
"RNS SOFTWARE INC",RNSW
"Renewal Fuels, Inc.",RNWF
"ROHAT RESOURCES, INC",ROHT
"Redpoint Bio Corporation",RPBC
"RAPHAEL INDUSTRIES",RPHA
"REAL PAPER DISPLAYS",RPPR
"Rhapsody Acquisition Corp",RPSD
"RHAPSODY ACQUISTN WT",RPSDW
"REAL ESTATE REFERRAL",RRFC
"RITE TIME MINING INC",RTME
"RussOil Corp., Prior to Reverse Merger with Smolenergy",RUSO
"RAVEN BIOFUELS INTL",RVBF
"RAVEN GOLD CORP",RVNG
"RIVER VALLEY COMM BK",RVVY
"REDWOOD CAPITAL BCP",RWCB
"ROYALTECH CORP.",RYTE
"RAZOR RESOURCES INC",RZRR
"Shermen WSC Acquisition Corp",SACQ
"Shermen WSC Acquisition Corp",SACQU
"SHERMEN WSC ACQ WT",SACQW
"SBCP BANCORP",SBBI
"SEARCH BY HEADLINES",SBHL
"SUMMIT BANK (OR)",SBKO
"SOMBRIO CAPITAL CORP",SBPP
"Seneca-Cayuga Bancorp Inc.",SCAY
"SEACOAST COMMERCE WT",SCCBW
"SCIENTIFIC ENERGY",SCGY
"SINO CLEAN ENERGY",SCLX
"Sentra Consulting Corp.",SCNU
"SecureCARE Technologies Inc.",SCUC
"SCIVANTA MEDICAL COR",SCVM
"SCOUT EXPLORATION",SCXN
"Shea Development Corp",SDLP
"SHADOW MARKETING INC",SDWM
"Secure Netwerks, Inc.",SEWK
"Sino Fibre Communications, Inc.",SFBE
"SANFORD EXPLORATION",SFDX
"Santa Fe Gold Corporation",SFEG
"SECURITY FST BK FRNO",SFRK
"Sunrise Global Inc.",SGBL
"Syringa Bancorp.",SGBP
"Strategic Resources, Ltd.",SGCR
"SUNCREST GLOBAL ENER",SGEG
"Summit Global Logistics, Inc.",SGLT
"Shotgun Energy Corporation",SGNE
"Sign Media Systems Inc.",SGNM
"SHIMING US INC",SGUS
"Shine Media Acquisition Corp.",SHND
"Shine Media Acquisition Corp.",SHNDU
"SHINE MEDIA ACQ WT",SHNDW
"SHINER INTL INC",SHNL
"Shearson Financial Network, Inc.",SHSN
"SIBLING ENTERTAINMNT",SIBE
"SICLONE INDS INC NEW",SICL
"Signet International Holdings Inc.",SIGN
"SKRM Interactive, Inc.",SKMI
"Skinny Nutritional Corp.",SKNY
"SEKOYA HOLDINGS",SKOA
"SK Realty Ventures, Inc.",SKRV
"SK3 GROUP INC",SKTO
"Silicon Mountain Holdings, Inc.",SLCM
"SOLUTIONS MECHANICAL",SLMC
"SALAMON GROUP, INC.",SLMU
"Solanex Management Inc",SLNX
"STELLAR BUSINESS BNK",SLRB
"SOLERA NATL BANCORP",SLRK
"SOLTERA MINING CORP",SLTA
"SOLAR THIN FILMS INC",SLTN
"SILVER RESERVE CORP.",SLVV
"Sielox, Inc",SLXN
"SMARTEC HOLDINGS INC",SMAH
"Small Cap Strategies, Inc.",SMCA
"Starmed Group Inc.",SMED
"SMOOTH GBL CH HDGS",SMGH
"SLM Holdings Inc.",SMHI
"Summit Exploration Inc",SMIX
"Smoky Market Foods Inc",SMKY
"Somanta Pharmaceuticals, Inc.",SMPM
"STANDARD CAPITAL COR",SNDC
"SINOENERGY CORP",SNEN
"SUNNYSIDE ACRES MOBL",SNYD
"SAN Holdings Inc.",SNZH
"SINOBIOMED INC",SOBM
"Source Direct Holdings Inc.",SODH
"Smart Online Inc.",SOLN
"SOPAC CELLULAR",SOPC
"Solar Power, Inc.",SOPW
"Solstice Resorts Inc.",SOSR
"Southridge Enterprises Inc.",SOUT
"Nile Therapeutics, Inc",SPDU
"SPEEDHAUL HLDGS NEW",SPEH
"Spicy Pickle Franchising Inc.",SPKL
"Smitten Press Local Lore and Legends Inc",SPLI
"Spatialight Inc.",SPLT
"Spongetech Delivery Systems Inc",SPNG
"SportsQuest, Inc.",SPQS
"SPRINGBANK RESOURCES",SPRG
"Sputnik, Inc.",SPUT
"Slopestyle Corp.",SPYP
"SILICA RESOURCES CP",SRCN
"STANFORD MGMT LTD",SRDM
"STAR RESORTS DEVELOP",SRDP
"STRIKER ENERGY CORP.",SRKR
"SANCON RESOURCE RCVY",SRRY
"SOUTHERN STAR ENERGY",SSEY
"SOUTH ST FNCL PFD A",SSFCP
"SUPPORT SPAN INC",SSIN
"SEA 2 SKY CORP",SSKY
"Silicon South Inc",SSOU
"Sentisearch, Inc.",SSRC
"Supportsave Solutions Inc.",SSVE
"STANDARD COMMERCE, I",STCC
"SYNTHENOL INC.",STHL
"Steakhouse Partners Inc.",STKP
"Stratum Holdings, Inc.",STTH
"SUSTUT EXPLORATION",STUX
"S2C GLOBAL SYSTEMS",STWG
"Sugar Creek Financial Corp.",SUGR
"SUPER LUCK, INC.",SULU
"SUTOR TECHNOLOGY GRP",SUOT
"SUTTER COMMUNITY BNK",SUTB
"SUN WORLD PARTNERS",SUWO
"SILVER FALLS BK (OR)",SVFL
"SVI Media, Inc.",SVIA
"SaVi Media Group Inc.",SVMI
"SAWADEE VENTURES INC",SWDE
"Syndication, Inc.",SYDI
"Sydys Corp.",SYYC
"SysView Technology, Inc.",SYZG
"SHANDONG ZHOUYUAN",SZSN
"TIMBERJACK SPORTING",TBJK
"Timberline Resources Corp.",TBLC
"T Bancshares, Inc.",TBNC
"T BANCSHARES INC WT",TBNCW
"TRUSTCASH HOLDINGS",TCHH
"TOWN CENTER BK IL",TCNB
"3D Icon Corporation",TDCP
"TRANSDEL PHARMACTL",TDLP
"TetriDyn Solutions, Inc.",TDYS
"TREASURE EXPLORATION",TEEX
"THRUST ENERGY CORP.",TEGC
"Terra Energy &amp; Resource Technologies, Inc.",TEGR
"Tecton Corp.",TEON
"Titan Energy Development Inc.",TEWI
"TRAFALGAR INC A",TFLG
"TAG EVENTS CORP.",TGEV
"Tonga Capital Corp.",TGPC
"TECHNOLOGY RESOURCES",TGYR
"TOUCHSTONE MINING",THSM
"TIKCRO TECHNOLOGIES",TIKRF
"TJS WOOD FLOORING",TJSW
"Tekoil &amp; Gas Corporation",TKGN
"TOMBSTONE EXPLORTN",TMBXF
"TINTIC GOLD MINING",TMGG
"TRANSGLOBAL MINING C",TMNC
"TMT Capital Corporation",TMTP
"TIAN`AN PHARMACEUTIC",TNPH
"TNT Designs Inc.",TNTD
"TOOTIE PIE COMPANY",TOOT
"TORO VENTURE INC.",TORO
"2-TRACK GLOBAL INC",TOTG
"TYPHOON ENTERPRISES",TPHN
"TAPIMMUNE INC",TPIM
"Trip Tech Inc.",TPTQ
"TREND TECHNOLOGY",TRET
"TRANSNATL FIN NTK",TRFN
"TransScience Corp.",TRNC
"Turnaround Partners, Inc.",TRNP
"TREASURE STATE BK MT",TRSU
"Trulite Inc.",TRUL
"Trycera Financial, Inc.",TRYF
"360 Global Wine Company",TSIQE
"TRADESHOW PRODUCTS",TSPD
"TITANIUM GROUP LTD",TTNUF
"Tetragenex Pharmaceuticals, Inc.",TTRX
"TransTech Services Partners Inc.",TTSP
"TransTech Services Partners Inc.",TTSPU
"TRANSTECH SVCS PRTNR",TTSPW
"Travelstar, Inc.",TVLS
"Theater Xtreme Entertainment Group Inc.",TXEG
"TX HOLDINGS INC",TXHG
"URANIUMCORE COMPANY",UCCO
"U.S. Dry Cleaning Corp.",UDRY
"U.S. DRY CLEANING WT",UDRYW
"United EcoEnergy Corp.",UEEC
"UFOOD RESTAURANT GRP",UFFC
"Universal Fog Inc.",UFOG
"Unify Corp.",UFYC
"Uhf Incorporated",UHFI
"Utilicraft Aerospace Industries Inc.",UITA
"Ultitek Ltd.",UITK
"UroMed Corp.",UOMD
"Uranium 308 Corp.",URCO
"Uranium Hunter Corporation",URHN
"URON Inc.",URON
"URANIUM STAR CORP",URST
"USA URANIUM CORP",USAU
"USA BANK (NY)",USBK
"US METRO BANK CA",USMT
"US Precious Metals Inc.",USPR
"USA Superior Energy Holdings, Inc.",USSU
"US URANIUM INC.",USUI
"Ustelematics Inc.",UTLM
"UTAH URANIUM CORP",UTUC
"Universal Energy Corp.",UVSE
"uVuMobile, Inc.",UVUM
"Uwharrie Capital Corp",UWHR
"VICTORY DIVIDE MNG",VCDV
"Veracity Management Global, Inc.",VCMG
"Vicor Technologies, Inc.",VCRT
"VISTA DORADA CORP.",VDOR
"VECTr Systems Inc.",VECT
"Virtualhealth Technologies, Inc.",VHGI
"VALLEY HIGH MINING",VHMC
"VIOSOLAR INC",VIOSF
"VELLA PRODUCTIONS",VLLA
"Valley Forge Composite Technologies Inc.",VLYF
"Visual Management Systems, Inc.",VMSY
"VoIP Inc.",VOIC
"VOIS INC",VOIS
"VOIS INC WT",VOISW
"VOYANT INTL CORP",VOYT
"Viragen Inc.",VRAI
"Veridigm Inc.",VRDG
"Viragen International Inc.",VRGE
"Viscorp Inc",VSCO
"Versadial, Inc.",VSDL
"VOICESERVE, INC.",VSRV
"Vsurance Inc.",VSUR
"Valentec Systems, Inc.",VSYN
"VitalTrust Business Development Corp.",VTBD
"VeruTEK Technologies, Inc.",VTKT
"V2K INTERNATIONAL",VTOK
"Vector Intersect Security Acquisition Corporation",VTRQ
"VECTOR INTST AQ UNIT",VTRQU
"VECTOR INTST AQ WT",VTRQW
"Voyager Petroleum, Inc.",VYGO
"WAVELIT INC",WAVL
"Wave Uranium Holding",WAVU
"WCB HOLDINGS INC",WCBH
"WESTCOAST GOLF EXPER",WCGE
"WILSON CREEK MINING",WCRE
"WaferGen Bio-Systems, Inc.",WGBS
"WESTERN GOLDFIELDS",WGDFF
"Whitehall Jewelers Holdings, Inc",WHJH
"WiFiMed Holdings Co., Inc.",WIFM
"WHITE DENTAL SUPPLY",WITD
"Wellstar International Inc.",WLSI
"WESTMONT RESOURCES",WMNT
"WHITE MOUNTN TITANM",WMTM
"WIND ENERGY AMERICA",WNEA
"WaterPure International Inc",WPUR
"World Marketing Inc",WRLM
"WIDESCOPE RESOURCES",WSCRF
"WESTERN STANDARD ENE",WSEG
"Westcott Products Corporation",WSPD
"WUHAN GENERAL GR CHN",WUHN
