# Collected By: Andy Pavlo http://www.cs.brown.edu/~pavlo/
"DELMAR BANCORP",DBCP
"DE BEIRA GOLDFIELD",DBGF
"Diabetic Treatment Centers of America Inc.",DBTC
"Diablo Valley Bank",DBVB
"DIABLO VALLEY BK PFD",DBVBP
"DESERT COMMERCIAL BK",DCBC
"DCB Financial Corp.",DCBF
"DCI USA Inc.",DCIU
"Dewey Electronics Corp.",DEWY
"Dalrada Financial Corporation",DFCO
"DIAMOND RANCH FOODS",DFDR
"DEFENSE IND INTL INC",DFNS
"DigitalFX International, Inc.",DFXN
"Digital Imaging Resources Inc.",DGIR
"Diagnostic Corp. of America",DGNA
"DIGUANG INTL DEV CO",DGNG
"Del Global Technologies Corp.",DGTC
"Digital Learning Management Corp.",DGTL
"Diamondhead Casino Corp.",DHCC
"Diamant Art Corp.",DIAAF
"Digital Lightwave Inc.",DIGL
"Dimeco Inc.",DIMC
"Direct Insite Corp.",DIRI
"Dale Jarrett Racing Adventure Inc.",DJRT
"DATAJUNGLE SOFTWARE",DJSW
"Drinks Americas Holdings, Ltd.",DKAM
"Dark Dynamite Inc.",DKDY
"DealerAdvance, Inc.",DLAV
"Dialog Group, Inc.",DLGO
"DOUGLAS LAKE MINERAL",DLKM
"Delek Resources Inc.",DLKR
"Daleco Resources Corp.",DLOV
"Deli Solar (USA), Inc.",DLSL
"Delta Mutual Inc.",DLTM
"DIAMOND DISCOV INTL",DMDD
"Dermisonics Inc.",DMSI
"DIRT MotorSports, Inc.",DMSP
"DNAprint Genomics, Inc.",DNAG
"DNB Financial Corp.",DNBF
"Delta Oil & Gas Inc.",DOIG
"Middleton Doll Co.",DOLL
"DOR BioPharma, Inc.",DORB
"DOV PHARMACEUTICAL",DOVP
"DOV PHARMA INC WTS",DOVPW
"DPAC Technologies Corp.",DPAC
"Dental Patient Care America Inc.",DPAT
"Diversified Product Inspections Inc.",DPRI
"DRAGON INTL GROUP CP",DRGG
"DRAGON PHARMA INC",DRUG
"Derma Sciences Inc.",DSCI
"Discovery Oil Ltd.",DSCY
"Datascension Inc.",DSEN
"DSA Financial Corp.",DSFN
"DESTINY MEDIA TECHNOLOGIES INC",DSNY
"Desert Mining Inc.",DSRM
"DUALSTAR TECH CP",DSTR
"DataMEG Corporation",DTMG
"Discovery Bancorp",DVBC
"DRAVCO MINING INC",DVCO
"DVL Inc.",DVLN
"Deer Valley Corporation",DVLY
"DEVINE ENTERTAINMENT",DVNNF
"DIVERSINET CORP",DVNTF
"Diversified Thermal Solutions Inc.",DVTS
"Dinewise, Inc.",DWIS
"Dynamic Health Products Inc.",DYHP
"Dynamic Leisure Corp.",DYLI
"DYNAMOTIVE ENERGY SY",DYMTF
"DynTek Inc.",DYNK
"DYNTEK WTS A",DYNKW
"Dynasil Corp. of America",DYSL
"DiaSys Corp.",DYXC
"eAutoclaims Inc.",EACC
"EACO Corp.",EACO
"Eagle Broadband Inc.",EAGB
"Easton Bancorp Inc. (MD)",EASB
"ebank Financial Services Inc.",EBDC
"EarthBlock Technologies Inc.",EBLC
"Eagle Bancorp",EBMT
"Earth Biofuels Inc.",EBOF
"Echo Resources Inc.",ECHR
"Encompass Holdings, Inc.",ECMH
"El Capitan Precious Metals Inc.",ECPN
"ECASH INC",ECSI
"Edentify, Inc.",EDFY
"e.Digital Corp.",EDIG
"EAST DELTA RESOURCES",EDLT
"EDEN ENERGY CORP",EDNE
"Eternal Energy Corp.",EERG
"EESTech, Inc.",EESH
"Entech Environmental Technologies Inc.",EEVT
"EGPI Firecreek Inc.",EFCR
"eFoodSafety.com Inc.",EFSF
"Eagle Financial Services Inc.",EFSI
"EarthFirst Technologies Inc.",EFTI
"eGain Communications Corp.",EGAN
"ELEMENT 21 GOLF CO",EGLF
"Ever-Glory International Group, Inc.",EGLY
"Electronic Game Card Inc.",EGMI
"ENTERGY ARKANSAS INC 4.56PFD65",EGRKH
"ENTERGY ARKANSAS INC4.72 PFD",EGRKI
"ENTERGY ARKANSAS INC 4.56PFD",EGRKM
"ENTERGY ARKANSAS INC 4.32PFD",EGRKN
"Energas Resources Inc.",EGSR
"Eagle Exploration Co.",EGXP
"ENTERGY ARKANSAS INC 6.08PFD",EGYKP
"Echo Healthcare Acquisition Corp.",EHHAU
"ECHO HEALTHCARE WT",EHHAW
